#,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
13,Tristan Thompson,F,205.7,115.2,33,Cleveland Cavaliers,13,Texas,2011 Rnd 1 Pick 4,Canada
15,J.T. Thor,PF,205.7,92.1,22,Cleveland Cavaliers,3,Auburn,2021 Rnd 2 Pick 7,United StatesSouth Sudan
4,Matisse Thybulle,SF,195.6,91.2,27,Portland Trail Blazers,5,Washington,2019 Rnd 1 Pick 20,United StatesAustralia
26,"Xavier Tillman, Sr.",PF,200.7,111.1,26,Boston Celtics,4,Michigan State,2020 Rnd 2 Pick 5,United States
30,Nae'qwan Tomlin,F,208.3,95.3,24,Cleveland Cavaliers,0,Memphis,"2024 NBA Draft, Undrafted",United States
44,Nikola Topic,PG,198.1,90.7,19,Oklahoma City Thunder,0,KK Crvena Zvezda (Serbia),2024 Rnd 1 Pick 12,Serbia
00,Jacob Toppin,SF,203.2,90.7,24,New York Knicks,1,Kentucky,"2023 NBA Draft, Undrafted",United States
1,Obi Toppin,F,205.7,99.8,26,Indiana Pacers,4,Dayton,2020 Rnd 1 Pick 8,United States
32,Karl-Anthony Towns,C,213.4,112.5,29,New York Knicks,9,Kentucky,2015 Rnd 1 Pick 1,United StatesDominican Republic
33,Luke Travers,F,200.7,93.9,23,Cleveland Cavaliers,0,Perth (Australia),2022 Rnd 2 Pick 26,Australia
5,"Gary Trent, Jr.",SG,195.6,92.5,26,Milwaukee Bucks,6,Duke,2018 Rnd 2 Pick 7,United States
34,Oscar Tshiebwe,F,203.2,115.7,25,Utah Jazz,1,Kentucky,"2023 NBA Draft, Undrafted",Democratic Republic of the Congo
17,P.J. Tucker,SF,195.6,111.1,39,Toronto Raptors,13,Texas,2006 Rnd 2 Pick 5,United States
33,Myles Turner,FC,210.8,113.4,28,Indiana Pacers,9,Texas,2015 Rnd 1 Pick 11,United States
5,Hunter Tyson,SF,203.2,97.5,24,Denver Nuggets,1,Clemson,2023 Rnd 2 Pick 7,United States
24,Jaylon Tyson,F,198.1,97.5,22,Cleveland Cavaliers,0,California,2024 Rnd 1 Pick 20,United States
17,Stanley Umude,G,198.1,95.3,25,Milwaukee Bucks,2,Arkansas,"2022 NBA Draft, Undrafted",United States
17,Jonas Valanciunas,C,210.8,120.2,32,Sacramento Kings,12,Lietuvos Rytas (Lithuania),2011 Rnd 1 Pick 5,Lithuania
5,Fred VanVleet,G,182.9,89.4,30,Houston Rockets,8,Wichita State,"2016 NBA Draft, Undrafted",United States
2,Jarred Vanderbilt,PF,203.2,97.1,25,Los Angeles Lakers,6,Kentucky,2018 Rnd 2 Pick 11,United States
24,Devin Vassell,SG,195.6,90.7,24,San Antonio Spurs,4,Florida State,2020 Rnd 1 Pick 11,United States
7,Gabe Vincent,G,188.0,90.7,28,Los Angeles Lakers,5,UC Santa Barbara,"2018 NBA Draft, Undrafted",United StatesNigeria
9,Nikola Vucevic,PF,208.3,117.9,34,Chicago Bulls,13,USC,2011 Rnd 1 Pick 16,SwitzerlandMontenegro
00,Tristan Vukcevic,F,208.3,99.8,21,Washington Wizards,1,KK Partizan (Serbia),2023 Rnd 2 Pick 12,ItalySerbia
32,Dean Wade,PF,205.7,103.4,28,Cleveland Cavaliers,5,Kansas State,"2019 NBA Draft, Undrafted",United States
22,Franz Wagner,SF,208.3,99.8,23,Orlando Magic,3,Michigan,2021 Rnd 1 Pick 8,Germany
21,Moe Wagner,PF,210.8,111.1,27,Orlando Magic,6,Michigan,2018 Rnd 1 Pick 25,Germany
34,Jabari Walker,F,200.7,107.5,22,Portland Trail Blazers,2,Colorado,2022 Rnd 2 Pick 27,United States
5,Jarace Walker,G,200.7,106.6,21,Indiana Pacers,1,Houston,2023 Rnd 1 Pick 8,United States
16,Lonnie Walker,SG,193.0,92.5,26,Philadelphia Sixers,6,Miami (FL),2018 Rnd 1 Pick 18,United States
22,Cason Wallace,G,190.5,88.5,21,Oklahoma City Thunder,1,Kentucky,2023 Rnd 1 Pick 10,United States
2,Keaton Wallace,G,190.5,83.9,25,Atlanta Hawks,1,Texas-San Antonio,"2021 NBA Draft, Undrafted",United States
27,Jordan Walsh,F,198.1,93.0,20,Boston Celtics,1,Arkansas,2023 Rnd 2 Pick 8,United States
14,Ja'Kobe Walter,F,195.6,81.6,20,Toronto Raptors,0,Baylor,2024 Rnd 1 Pick 19,United States
7,Kel'el Ware,PF,213.4,104.3,20,Miami Heat,0,Indiana,2024 Rnd 1 Pick 15,United States
14,"TyTy Washington, Jr.",PG,190.5,88.5,23,Phoenix Suns,2,Kentucky,2022 Rnd 1 Pick 29,United States
25,P.J. Washington,PF,198.1,104.3,26,Dallas Mavericks,5,Kentucky,2019 Rnd 1 Pick 12,United States
43,Lindy Waters III,SG,198.1,95.3,27,Detroit Pistons,3,Oklahoma State,"2020 NBA Draft, Undrafted",United States
9,Trendon Watford,SF,203.2,107.5,24,Brooklyn Nets,3,LSU,"2021 NBA Draft, Undrafted",United States
28,Anton Watson,SF,203.2,102.1,24,Boston Celtics,0,Gonzaga,2024 Rnd 2 Pick 24,United States
8,Peyton Watson,GF,200.7,90.7,22,Denver Nuggets,2,UCLA,2022 Rnd 1 Pick 30,United States
0,Jaylen Wells,F,203.2,93.4,21,Memphis Grizzlies,0,Washington State,2024 Rnd 2 Pick 9,United States
1,Victor Wembanyama,F,221.0,106.6,21,San Antonio Spurs,1,Boulogne-Levallois (France),2023 Rnd 1 Pick 1,France
14,Blake Wesley,SG,190.5,83.9,21,San Antonio Spurs,2,Notre Dame,2022 Rnd 1 Pick 25,United States
4,Russell Westbrook,G,193.0,90.7,36,Denver Nuggets,16,UCLA,2008 Rnd 1 Pick 4,United States
0,Coby White,PG,195.6,88.5,25,Chicago Bulls,5,North Carolina,2019 Rnd 1 Pick 7,United States
9,Derrick White,G,193.0,86.2,30,Boston Celtics,7,Colorado,2017 Rnd 1 Pick 29,United States
0,Dariq Whitehead,F,198.1,99.8,20,Brooklyn Nets,1,Duke,2023 Rnd 1 Pick 22,United States
7,Cam Whitmore,F,200.7,104.3,20,Houston Rockets,1,Villanova,2023 Rnd 1 Pick 20,United States
21,Aaron Wiggins,F,195.6,86.2,26,Oklahoma City Thunder,3,Maryland,2021 Rnd 2 Pick 25,United States
22,Andrew Wiggins,F,200.7,89.4,29,Miami Heat,10,Kansas,2014 Rnd 1 Pick 1,Canada
10,Brandon Williams,PG,185.4,86.2,25,Dallas Mavericks,2,Arizona,"2021 NBA Draft, Undrafted",United States
5,Cody Williams,F,200.7,86.2,20,Utah Jazz,0,Colorado,2024 Rnd 1 Pick 10,United States
2,Grant Williams,SF,198.1,107.0,26,Charlotte Hornets,5,Tennessee,2019 Rnd 1 Pick 22,United States
8,Jalen Williams,G,195.6,95.7,23,Oklahoma City Thunder,2,Santa Clara,2022 Rnd 1 Pick 12,United States
6,Jaylin Williams,C,205.7,108.9,22,Oklahoma City Thunder,2,Arkansas,2022 Rnd 2 Pick 4,United States
19,"Nate Williams, Jr.",SG,195.6,93.0,26,Houston Rockets,2,Buffalo,"2022 NBA Draft, Undrafted",United States
5,"Vincent Williams, Jr.",SF,193.0,93.0,24,Memphis Grizzlies,2,VCU,2022 Rnd 2 Pick 17,United States
34,Kenrich Williams,SF,198.1,95.3,30,Oklahoma City Thunder,6,TCU,"2018 NBA Draft, Undrafted",United States
5,Mark Williams,C,213.4,108.9,23,Charlotte Hornets,2,Duke,2022 Rnd 1 Pick 15,United States
44,Patrick Williams,G,200.7,97.5,23,Chicago Bulls,4,Florida State,2020 Rnd 1 Pick 4,United States
35,Robert Williams,PF,205.7,112.9,27,Portland Trail Blazers,6,Texas A&M,2018 Rnd 1 Pick 27,United States
1,Ziaire Williams,F,205.7,83.9,23,Brooklyn Nets,3,Stanford,2021 Rnd 1 Pick 10,United States
1,Zion Williamson,PF,198.1,128.8,24,New Orleans Pelicans,5,Duke,2019 Rnd 1 Pick 1,United States
22,Jalen Wilson,F,198.1,99.8,24,Brooklyn Nets,1,Kansas,2023 Rnd 2 Pick 21,United States
0,Delon Wright,G,195.6,83.9,32,New York Knicks,9,Utah,2015 Rnd 1 Pick 20,United States
28,Guerschon Yabusele,PF,203.2,120.2,29,Philadelphia Sixers,2,Rouen Metropole Basket (France),2016 Rnd 1 Pick 16,France
11,Jahmir Young,PG,185.4,83.9,24,Chicago Bulls,0,Maryland,"2024 NBA Draft, Undrafted",United States
11,Trae Young,PG,185.4,74.4,26,Atlanta Hawks,6,Oklahoma,2018 Rnd 1 Pick 5,United States
40,Cody Zeller,F,210.8,108.9,32,Houston Rockets,11,Indiana,2013 Rnd 1 Pick 4,United States
40,Ivica Zubac,C,213.4,108.9,27,Los Angeles Clippers,8,KK Mega Bemax (Serbia),2016 Rnd 2 Pick 2,Bosnia and HerzegovinaCroatia
